PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
101,8,Loving the new update!,2025-03-23 14:56:41,115,0,"#AI,#tech,#bug",0.4
102,7,Can’t stop using it!,2025-03-20 07:56:41,91,23,"#tech,#UX",0.52
103,4,Such a smooth interface!,2025-03-16 16:56:41,2,40,"#UX,#fail",-0.34
104,7,Loving the new update!,2025-03-15 23:56:41,115,11,"#cleanUI,#AI",0.49
105,4,Great performance on mobile.,2025-03-16 17:56:41,126,33,"#UX,#design,#AI",-0.58
106,3,Absolutely love the UX!,2025-03-17 19:56:41,25,32,"#tech,#love,#AI",0.28
107,5,This app keeps crashing. So annoying.,2025-03-17 06:56:41,85,12,"#UX,#bug,#fail",-0.31
108,8,Great performance on mobile.,2025-03-18 10:56:41,129,44,"#UX,#design",-0.35
109,4,Loving the new update!,2025-03-19 08:56:41,102,8,"#bug,#social",0.02
110,5,Great performance on mobile.,2025-03-19 06:56:41,53,32,"#fail,#mood",-0.48
111,3,Needs dark mode ASAP!,2025-03-17 17:56:41,77,35,"#cleanUI,#UX",-0.48
112,3,Needs dark mode ASAP!,2025-03-17 14:56:41,14,10,"#love,#cleanUI,#design",0.64
113,4,Great performance on mobile.,2025-03-23 11:56:41,149,40,"#love,#design,#fail",0.07
114,1,Such a smooth interface!,2025-03-20 12:56:41,39,19,"#cleanUI,#love",-0.13
115,10,Great performance on mobile.,2025-03-17 04:56:41,143,13,"#cleanUI,#AI",-0.51
116,3,Needs dark mode ASAP!,2025-03-21 07:56:41,113,4,"#social,#bug,#design",-0.67
117,10,Loving the new update!,2025-03-23 08:56:41,110,37,"#cleanUI,#mood,#tech",-0.07
118,5,Can’t stop using it!,2025-03-22 22:56:41,80,44,#AI,-0.39
119,10,Absolutely love the UX!,2025-03-21 10:56:41,138,2,#cleanUI,0.93
120,10,Needs dark mode ASAP!,2025-03-18 18:56:41,82,38,#tech,-0.68
121,5,This app keeps crashing. So annoying.,2025-03-24 21:56:41,125,15,"#bug,#mood,#fail",-0.81
122,6,I’m impressed with the speed.,2025-03-21 17:56:41,51,32,"#cleanUI,#tech",-0.57
123,4,Can’t stop using it!,2025-03-22 02:56:41,54,37,"#bug,#design",-0.66
124,9,Absolutely love the UX!,2025-03-24 15:56:41,3,30,"#cleanUI,#love,#bug",-0.64
125,2,Loving the new update!,2025-03-24 04:56:41,124,47,#AI,0.27
126,4,Great performance on mobile.,2025-03-19 19:56:41,66,22,#mood,0.3
127,3,Absolutely love the UX!,2025-03-17 16:56:41,80,40,"#fail,#cleanUI,#social",0.48
128,6,Can’t stop using it!,2025-03-24 16:56:41,148,40,#design,0.37
129,3,Can’t stop using it!,2025-03-24 13:56:41,46,16,#social,-0.92
130,3,Loving the new update!,2025-03-18 15:56:41,17,44,#design,0.54
131,8,Loving the new update!,2025-03-24 03:56:41,73,27,"#UX,#cleanUI",0.21
132,9,Worst experience ever.,2025-03-18 16:56:41,121,23,"#tech,#cleanUI,#design",0.22
133,2,Loving the new update!,2025-03-16 12:56:41,23,21,#AI,0.91
134,4,Great performance on mobile.,2025-03-24 14:56:41,112,15,#bug,0.08
135,10,I’m impressed with the speed.,2025-03-17 01:56:41,90,25,"#fail,#mood",0.32
136,6,I’m impressed with the speed.,2025-03-23 16:56:41,59,19,"#fail,#AI,#mood",0.36
137,10,Worst experience ever.,2025-03-23 13:56:41,126,22,"#fail,#love,#mood",0.76
